cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,n_edges_internal,share_depth4
0,278,1,31237334.24,100000006866783100;100000002741024100;100000002398779100;100000008477350100;100000004071080100,"278 узлов, 1 seed, внутренний оборот 31,2 млн KZT; вход сосредоточен у 100000007055802100 (1,5 млн KZT, 5% внутреннего оборота); 63 узлов на границе выгрузки",399,0.2266
1,270,1,10178044.0,100000002527114100;100000002733905100;100000001697501100;100000002578405100;100000001166289100,"270 узлов, 1 seed, внутренний оборот 10,2 млн KZT; вход сосредоточен у 100000002578405100 (1,2 млн KZT, 12% внутреннего оборота); 4 узлов на границе выгрузки",279,0.0148
2,138,3,18838290.0,100000003684369100;100000008165763100;100000008748914100;100000004539443100;100000003249054100,"138 узлов, 3 seed, внутренний оборот 18,8 млн KZT; вход сосредоточен у 100000003684369100 (2,9 млн KZT, 16% внутреннего оборота); 6 узлов на границе выгрузки",152,0.0435
3,133,0,17433528.0,100000008603629100;100000000661912100;100000005140601100;100000001857829100;100000001600934100,"133 узлов, 0 seed, внутренний оборот 17,4 млн KZT; вход сосредоточен у 100000008603629100 (910 тыс. KZT, 5% внутреннего оборота); 49 узлов на границе выгрузки",141,0.3684
4,127,7,18414962.28,100000003016635100;100000004019124100;100000008650785100;100000005519347100;100000000706545100,"127 узлов, 7 seed, внутренний оборот 18,4 млн KZT; вход сосредоточен у 100000000706545100 (1,1 млн KZT, 6% внутреннего оборота); 6 узлов на границе выгрузки",163,0.0472
5,126,0,24907250.33,100000000331309100;100000000332284100;100000003796063100;100000003741418100;100000006734214100,"126 узлов, 0 seed, внутренний оборот 24,9 млн KZT; вход сосредоточен у 100000001330685100 (2,1 млн KZT, 8% внутреннего оборота); 35 узлов на границе выгрузки",130,0.2778
6,106,4,16242879.02,100000001616816100;100000004015047100;100000001677929100;100000003509750100;100000002692750100,"106 узлов, 4 seed, внутренний оборот 16,2 млн KZT; вход сосредоточен у 100000002958343100 (2,9 млн KZT, 18% внутреннего оборота); 2 узлов на границе выгрузки",125,0.0189
7,106,0,6254194.67,100000005704413100;100000006707582100;100000008104567100;100000005473151100;100000007998965100,"106 узлов, 0 seed, внутренний оборот 6,3 млн KZT; вход сосредоточен у 100000005473151100 (1,1 млн KZT, 17% внутреннего оборота); 56 узлов на границе выгрузки",113,0.5283
8,104,1,21747439.59,100000002838861100;100000006443391100;100000008489922100;100000002718366100;100000006385877100,"104 узлов, 1 seed, внутренний оборот 21,7 млн KZT; вход сосредоточен у 100000002718366100 (2,4 млн KZT, 11% внутреннего оборота); 36 узлов на границе выгрузки",130,0.3462
9,56,3,13397542.0,100000001732159100;100000008637537100;100000008314203100;100000003404627100;100000005413948100,"56 узлов, 3 seed, внутренний оборот 13,4 млн KZT; вход сосредоточен у 100000001732159100 (2,4 млн KZT, 18% внутреннего оборота); 13 узлов на границе выгрузки",70,0.2321
10,53,1,2993313.0,100000001899164100;100000002193259100;100000004692798100;100000008443341100;100000000933075100,"53 узлов, 1 seed, внутренний оборот 3,0 млн KZT; вход сосредоточен у 100000001899164100 (271 тыс. KZT, 9% внутреннего оборота); 8 узлов на границе выгрузки",59,0.1509
11,53,1,5947339.0,100000000343175100;100000003115284100;100000003635170100;100000003360542100;100000003390036100,"53 узлов, 1 seed, внутренний оборот 5,9 млн KZT; вход сосредоточен у 100000003115284100 (838 тыс. KZT, 14% внутреннего оборота); 7 узлов на границе выгрузки",60,0.1321
12,52,5,4171441.0,100000005493505100;100000005074393100;100000001236706100;100000008346837100;100000006424479100,"52 узлов, 5 seed, внутренний оборот 4,2 млн KZT; вход сосредоточен у 100000003718715100 (915 тыс. KZT, 22% внутреннего оборота); 13 узлов на границе выгрузки",55,0.25
13,51,0,13990812.0,100000005242320100;100000001282143100;100000008512827100;100000002956769100;100000002559089100,"51 узлов, 0 seed, внутренний оборот 14,0 млн KZT; вход сосредоточен у 100000001282143100 (1,1 млн KZT, 8% внутреннего оборота); 11 узлов на границе выгрузки",51,0.2157
14,44,0,10215968.84,100000005933757100;100000004159526100;100000001937767100;100000002605308100;100000002963189100,"44 узлов, 0 seed, внутренний оборот 10,2 млн KZT; вход сосредоточен у 100000002605308100 (2,6 млн KZT, 25% внутреннего оборота); 7 узлов на границе выгрузки",46,0.1591
15,41,1,4209955.28,100000005339662100;100000004156082100;100000000076451100;100000004820260100;100000005175148100,"41 узлов, 1 seed, внутренний оборот 4,2 млн KZT; вход сосредоточен у 100000003221384100 (511 тыс. KZT, 12% внутреннего оборота); 3 узлов на границе выгрузки",45,0.0732
16,41,0,5151924.19,100000003242289100;100000008512552100;100000008413748100;100000005530114100;100000002713074100,"41 узлов, 0 seed, внутренний оборот 5,2 млн KZT; вход сосредоточен у 100000003964910100 (1,0 млн KZT, 19% внутреннего оборота); 9 узлов на границе выгрузки",45,0.2195
17,30,0,8045494.0,100000001887715100;100000001303311100;100000008743913100;100000007229557100;100000002748532100,"30 узлов, 0 seed, внутренний оборот 8,0 млн KZT; вход сосредоточен у 100000001887715100 (1,3 млн KZT, 17% внутреннего оборота); 3 узлов на границе выгрузки",34,0.1
18,30,1,6513430.0,100000008546855100;100000005409680100;100000006274203100;100000007689942100;100000003854444100,"30 узлов, 1 seed, внутренний оборот 6,5 млн KZT; вход сосредоточен у 100000006274203100 (3,4 млн KZT, 52% внутреннего оборота); 5 узлов на границе выгрузки",32,0.1667
19,26,14,2289450.0,100000005382566100;100000004041163100;100000008516839100;100000005668605100;100000004403675100,"26 узлов, 14 seed, внутренний оборот 2,3 млн KZT; вход сосредоточен у 100000005523088100 (700 тыс. KZT, 31% внутреннего оборота); 2 узлов на границе выгрузки",28,0.0769
20,20,0,617900.0,100000003154105100;100000002448088100;100000001427082100;100000002185328100;100000000723383100,"20 узлов, 0 seed, внутренний оборот 618 тыс. KZT; вход сосредоточен у 100000006308406100 (183 тыс. KZT, 30% внутреннего оборота); 15 узлов на границе выгрузки",19,0.75
21,18,0,3422800.0,100000003701161100;100000002267998100;100000003718221100;100000008137435100;100000004580202100,"18 узлов, 0 seed, внутренний оборот 3,4 млн KZT; вход сосредоточен у 100000003701161100 (1,3 млн KZT, 39% внутреннего оборота); 2 узлов на границе выгрузки",21,0.1111
22,17,1,21586840.0,100000002224132100;100000004603109100;100000001965374100;100000005664922100;100000004892144100,"17 узлов, 1 seed, внутренний оборот 21,6 млн KZT; вход сосредоточен у 100000004892144100 (4,5 млн KZT, 21% внутреннего оборота); 0 узлов на границе выгрузки",24,0.0
23,17,1,2977887.0,100000004007116100;100000004144536100;100000001330595100;100000002731501100;100000003616818100,"17 узлов, 1 seed, внутренний оборот 3,0 млн KZT; вход сосредоточен у 100000004007116100 (765 тыс. KZT, 26% внутреннего оборота); 1 узлов на границе выгрузки",31,0.0588
24,15,0,850450.0,100000001526235100;100000002472632100;100000008471634100;100000005505655100;100000000404740100,"15 узлов, 0 seed, внутренний оборот 850 тыс. KZT; вход сосредоточен у 100000002472632100 (502 тыс. KZT, 59% внутреннего оборота); 6 узлов на границе выгрузки",18,0.4
